# ----------------------------------------
# Startseite
# Konto: Marvin Messenzehl #
# Property: matiive #
# ----------------------------------------
#   #
# Startdatum: 20191129
# Enddatum: 20191202
X. Tag,Nutzer
0000,91
0001,43
0002,21
0003,68

# Startdatum: 20191129
# Enddatum: 20191202
X. Tag,Ereignisanzahl
0000,873
0001,468
0002,208
0003,664

# Startdatum: 20191129
# Enddatum: 20191202
X. Tag,Conversions
0000,44
0001,32
0002,16
0003,50

# Startdatum: 20191129
# Enddatum: 20191202
X. Tag,Gesamteinnahmen


#   #


# Welchen Trend gibt es bei aktiven Nutzern? #
# Startdatum: 20191003
# Enddatum: 20191201
X. Tag,30 Tage,7 Tage,1 Tag
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,0,0,0
0007,0,0,0
0008,0,0,0
0009,0,0,0
0010,0,0,0
0011,0,0,0
0012,0,0,0
0013,0,0,0
0014,0,0,0
0015,0,0,0
0016,0,0,0
0017,0,0,0
0018,0,0,0
0019,0,0,0
0020,0,0,0
0021,0,0,0
0022,0,0,0
0023,0,0,0
0024,0,0,0
0025,0,0,0
0026,0,0,0
0027,0,0,0
0028,0,0,0
0029,0,0,0
0030,0,0,0
0031,0,0,0
0032,0,0,0
0033,0,0,0
0034,0,0,0
0035,0,0,0
0036,0,0,0
0037,0,0,0
0038,0,0,0
0039,2,2,2
0040,4,4,2
0041,35,35,31
0042,35,35,0
0043,69,69,36
0044,69,69,0
0045,69,69,1
0046,69,67,0
0047,69,65,0
0048,69,36,0
0049,69,36,0
0050,69,1,0
0051,69,1,0
0052,69,0,0
0053,69,0,0
0054,69,0,0
0055,69,0,0
0056,69,0,0
0057,159,91,91
0058,200,134,43
0059,221,155,21

# Woher kommen Ihre Besucher? #
# Startdatum: 20191003
# Enddatum: 20191201
Landes-ID,Nutzer,Nutzer (Vorherige)
AL,1,0
BD,1,0
BR,8,0
CA,6,0
CZ,1,0
DE,5,0
FR,2,0
GB,4,0
HK,1,0
IE,2,0
IN,71,0
IT,3,0
JP,1,0
MA,1,0
NL,2,0
RO,1,0
UA,1,0
US,107,0
VE,3,0

# Startdatum: 20191003
# Enddatum: 20191201
Land,Nutzer
United States,107
India,71
Brazil,8
Canada,6
Germany,5
United Kingdom,4
Italy,3
Venezuela,3
France,2
Ireland,2
Netherlands,2
Albania,1
Bangladesh,1
Czechia,1
Hong Kong,1
Japan,1
Morocco,1
Romania,1
Ukraine,1

# Welche Seiten und Bildschirme werden am häufigsten aufgerufen? #
# Startdatum: 20191125
# Enddatum: 20191201
Seitentitel und Bildschirmklasse,Aufrufe
matiive insurance,223

# Welche sind Ihre wichtigsten Ereignisse? #
# Startdatum: 20191125
# Enddatum: 20191201
Name des Events,Ereignisanzahl
page_view,223
session_start,183
first_visit,176
discover_more_click,155
set_nudge_0,118
set_nudge_1,93
submit_click,92
show_nudge_0,88
user_engagement,87
show_nudge_1,82
basic_0_click,30
basic_1_click,26
happy_basic_1_click,17
modal_cancel,16
top_0_click,16
top_1_click,16
happy_basic_0_click,15
header_liability_click,15
comfort_0_click,14
comfort_1_click,11
neutral_basic_0_click,10
happy_top_1_click,9
home_click,9
happy_comfort_0_click,8
happy_top_0_click,7
neutral_basic_1_click,7
happy_comfort_1_click,6
neutral_top_0_click,6
neutral_comfort_1_click,3
neutral_top_1_click,3
neutral_comfort_0_click,2
sad_basic_0_click,2
sad_basic_1_click,2
disclaimer_click,1
sad_top_1_click,1

# Was sind Ihre wichtigsten Conversions? #
# Startdatum: 20191125
# Enddatum: 20191201
Name des Events,Conversions
submit_click,92

# Woher sind neue Nutzer gekommen? #
# Startdatum: 20191125
# Enddatum: 20191201
Nutzermedium,Neue Nutzer
referral,171
(none),5

# Wie gut ist die Nutzerbindung? #
# Startdatum: 20191020
# Enddatum: 20191130
Datum,Woche 0,Woche 1,Woche 2,Woche 3,Woche 4,Woche 5
20. Okt. - 26. Okt.,0,0,0,0,0,0
27. Okt. - 2. Nov.,0,0,0,0,0,-1
3. Nov. - 9. Nov.,0,0,0,0,-1,-1
10. Nov. - 16. Nov.,67,1,3,-1,-1,-1
17. Nov. - 23. Nov.,0,0,-1,-1,-1,-1
24. Nov. - 30. Nov.,131,-1,-1,-1,-1,-1

# Wie unterscheiden sich Aktivitäten auf den verschiedenen Plattformen? #
# Startdatum: 20191104
# Enddatum: 20191201
Plattform,Gesamteinnahmen


# Wie sind Nutzer auf die verschiedenen Plattformen verteilt? #
# Startdatum: 20191104
# Enddatum: 20191201
Plattform,Nutzer
"[""Web""]",221
