# ----------------------------------------
# Ereignisse
# ----------------------------------------
Ereignisname,Anzahl,Nutzer,Als Conversion markieren
basic_0_click,5,5,false
basic_1_click,4,4,false
basic_2_click,2,2,false
comfort_0_click,2,2,false
comfort_1_click,4,4,false
comfort_2_click,4,4,false
disclaimer_click,0,0,false
discover_more_click,39,24,false
first_visit,34,34,false
happy_basic_0_click,2,2,false
happy_basic_1_click,2,2,false
happy_basic_2_click,2,2,false
happy_comfort_1_click,1,1,false
happy_comfort_2_click,0,0,false
happy_top_0_click,1,1,false
happy_top_1_click,2,2,false
happy_top_2_click,1,1,false
header_liability_click,4,4,false
home_click,1,1,false
modal closed,0,0,false
modal_cancel,7,5,false
neutral_basic_0_click,1,1,false
neutral_basic_1_click,0,0,false
neutral_basic_2_click,0,0,false
neutral_comfort_0_click,2,2,false
neutral_comfort_1_click,3,3,false
neutral_comfort_2_click,4,4,false
neutral_top_0_click,1,1,false
neutral_top_2_click,2,2,false
page_view,64,34,false
sad_basic_0_click,1,1,false
sad_basic_1_click,0,0,false
sad_basic_2_click,0,0,false
sad_top_0_click,0,0,false
sad_top_1_click,1,1,false
session_start,34,34,false
set_nudge_0,18,11,false
set_nudge_1,22,16,false
set_nudge_2,22,18,false
show_no_nudge,0,0,false
show_nudge_0,15,9,false
show_nudge_1,14,11,false
show_nudge_2,14,11,false
show_strong_nudge,0,0,false
show_testimonial_nudge,0,0,false
submit_click,23,13,true
top_0_click,5,4,false
top_1_click,3,3,false
top_2_click,3,3,false
