time,mturk_id,age,gender,education
2019/11/29 7:48:05 AM MEZ,A5WAWW70PYRP,18 - 29,Male,Masters Degree
2019/11/29 7:52:33 AM MEZ,A5WAWW70PYRP,18 - 29,Male,Masters Degree
2019/11/29 7:57:22 AM MEZ,A3C5EDRV80P0CO,18 - 29,Male,4-year College Degree
2019/11/29 7:59:00 AM MEZ,A3C5EDRV80P0CO,30 - 39,Male,4-year College Degree
2019/11/29 7:59:41 AM MEZ,A3C5EDRV80P0CO,18 - 29,Female,4-year College Degree
2019/11/29 8:04:39 AM MEZ,AHSKPU6EFR5P0,18 - 29,Male,4-year College Degree
2019/11/29 8:20:18 AM MEZ,A210WH51UY4KF1,18 - 29,Male,4-year College Degree
2019/11/29 9:51:10 AM MEZ,A22GZ5ZA5V9T3O,18 - 29,Male,4-year College Degree
2019/11/29 11:28:25 AM MEZ,A78OWGFPQ4VE1,18 - 29,Female,Masters Degree
2019/11/29 11:54:23 AM MEZ,A3JM3E54N61L0S,30 - 39,Male,2-year College Degree
2019/11/29 12:08:48 PM MEZ,A3AYHESLQSDY5T,30 - 39,Male,4-year College Degree
2019/11/29 12:36:33 PM MEZ,A1YNGE7LM9TQHL,30 - 39,Male,4-year College Degree
2019/11/29 12:36:54 PM MEZ,A1YNGE7LM9TQHL,30 - 39,Male,4-year College Degree
2019/11/29 12:40:57 PM MEZ,A24A03BCD4TKWL,30 - 39,Male,4-year College Degree
2019/11/29 2:35:13 PM MEZ,A27PINUYH0XHRB,40 - 49,Female,4-year College Degree
2019/11/29 2:53:44 PM MEZ,A1FL1Q3T2SGT8T,18 - 29,Female,Masters Degree
2019/11/29 2:54:19 PM MEZ,A1FL1Q3T2SGT8T,18 - 29,Female,Masters Degree
2019/11/29 2:59:51 PM MEZ,A3CJRP3W8Z4MA,18 - 29,Male,4-year College Degree
2019/11/29 3:24:40 PM MEZ,A3F2OUHPW6L4OZ,30 - 39,Female,4-year College Degree
2019/11/29 3:29:32 PM MEZ,A3R11SHPRCTS6P,18 - 29,Male,High School / GED
2019/11/29 4:05:39 PM MEZ,A9R9MKAO0MCHP,> 50,Male,Masters Degree
2019/11/29 4:23:14 PM MEZ,A1S2MN0E9BHPVA,18 - 29,Male,4-year College Degree
